MsgID.STATE,1520866747.2756999,False,False
MsgID.GLOBAL_HOME,1520866764.4191241,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4191241,-122.3974514,37.7924799,0.2210000
MsgID.LOCAL_VELOCITY,1520866764.4191241,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4191241,-0.0038409,-0.1305768,-0.2215082
MsgID.LOCAL_VELOCITY,1520866764.4191241,0.0000002,0.0000128,0.0000155
MsgID.LOCAL_POSITION,1520866764.4196248,-0.1394333,-0.1418181,-0.2225626
MsgID.LOCAL_VELOCITY,1520866764.4196248,-0.0000147,0.0000043,0.0000139
MsgID.GLOBAL_POSITION,1520866764.4196248,-122.3974515,37.7924787,0.2220000
MsgID.LOCAL_VELOCITY,1520866764.4196248,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4196248,-0.1387197,-0.1276696,-0.2131646
MsgID.LOCAL_VELOCITY,1520866764.4196248,0.0000127,-0.0000090,0.0000176
MsgID.GLOBAL_POSITION,1520866764.4201248,-122.3974514,37.7924787,0.2130000
MsgID.LOCAL_VELOCITY,1520866764.4201248,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4201248,-0.1815865,0.0180854,-0.1973539
MsgID.LOCAL_VELOCITY,1520866764.4201248,0.0000099,-0.0000047,0.0000225
MsgID.GLOBAL_POSITION,1520866764.4201248,-122.3974497,37.7924783,0.1970000
MsgID.LOCAL_VELOCITY,1520866764.4201248,0.0000000,0.0000000,0.0000000
MsgID.STATE,1520866764.4206254,True,True
MsgID.GLOBAL_HOME,1520866764.4206254,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1520866764.4206254,-0.0555661,0.0840069,-0.1729295
MsgID.LOCAL_VELOCITY,1520866764.4206254,-0.0000118,-0.0000075,0.0000074
MsgID.GLOBAL_POSITION,1520866764.4206254,-122.3974490,37.7924794,0.1720000
MsgID.LOCAL_VELOCITY,1520866764.4206254,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4211254,-0.0484422,-0.0783887,-0.1481462
MsgID.LOCAL_VELOCITY,1520866764.4211254,-0.0000183,-0.0000110,0.0000171
MsgID.GLOBAL_POSITION,1520866764.4211254,-122.3974508,37.7924795,0.1480000
MsgID.LOCAL_VELOCITY,1520866764.4211254,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4211254,-122.3974516,37.7924798,0.1170000
MsgID.LOCAL_VELOCITY,1520866764.4211254,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4216261,-0.0159155,-0.1440122,-0.1175757
MsgID.LOCAL_VELOCITY,1520866764.4216261,0.0000009,-0.0000186,0.0000190
MsgID.GLOBAL_POSITION,1520866764.4216261,-122.3974493,37.7924800,0.0890000
MsgID.LOCAL_VELOCITY,1520866764.4216261,0.0000000,0.0000000,0.0000000
